Device,Asset Tag/QTY,Model,Serial #,Provided By,STOCKED DATE,Install Date,NOTES,
Scale,C2115,A&D,16327131,Utica,12/30/22,1/13/23,MOVED TO DETROIT,
Scanner,,Honeywell,22552811A7,New Baltimore,1/20/23,1/3/2023,MOVED TO UTICA,
Laptop,,"Dell XPS 15"" 9510",8Y9H2J3,HQ,,1/2/2023,MOVED TO HQ (Patrick Horace),
Reception,C2169,Dell E2420H,HDRTLY2,BIG RAPIDS,5/25/22,11/3/2022,MOVED TO UTICA ,
Computer,1,Dell OptiPlex 7780 AlO,,BIG RAPIDS,5/25/22,11/9/2022,MOVED TO CEDAR SPRINGS,
CASH 6,C1384,Dell OptiPlex 5490 AIO,5FBGNK3,BIG RAPIDS,5/25/22,2/26/2022,MOVED TO UTICA ,
Cash 2,C1389,Dell OptiPlex 5490 AIO,1R0GNK3,BIG RAPIDS,5/25/22,10/25/2022,MOVED TO UTICA ,
Cash 5,C1392,Dell OptiPlex 5490 AIO,5WGK5K3,BIG RAPIDS,5/25/22,5/26/2022,MOVED TO UTICA ,
Managers PC,C1395,Dell OptiPlex 5490 AIO,36RGNK3,BIG RAPIDS,5/25/22,10/6/2022,MOVED TO MUSKEGON ,
Vault,C1397,Dell OptiPlex 5490 AIO,F7RGNK3,BIG RAPIDS,5/25/22,10/25/2022,MOVED TO UTICA ,
Manager Printer,C1396,HP Color LaserJet Pro MFP M479fdw,CNCRP865MM,BIG RAPIDS,5/25/22,2/24/2022,MOVED AND SETUP IN MUSKEGON BACK OFFICE,
ID Scanner,C1385,IDWare M280,2801059680,BIG RAPIDS,5/25/22,6/27/2022,MOVED TO UTICA,
Receipt Printer 3,C1393,Star TSP100III,2550221081302174,BIG RAPIDS,5/25/22,5/26/2022,MOVED TO UTICA,
Receipt Printer 2,C1390,Star TSP100III,2550221081302175,BIG RAPIDS,5/25/22,5/26/2022,MOVED TO UTICA,
Label Printer 1,C1388,Zebra ZD410,50J200200917,BIG RAPIDS,5/25/22,12/30/22,MOVED TO UTICA,
Label Printer 3,C1394,Zebra ZD410,50N212202089,BIG RAPIDS,5/25/22,12/30/22,MOVED TO UTICA,
Large Scale,C1399,AND HV-15KC,E6B1400225,BIG RAPIDS,5/25/22,11/9/2022,MOVED TO CEDAR SPRINGS,
Scanner 5 / NO HOLDER,1,Symbol LS2209,Z0TPCR,BIG RAPIDS,5/25/22,6/20/2022,MOVED TO NEW BALTIMORE,
Cash Drawer,1,ADESSO MRP-16CD,C2105000107,BIG RAPIDS,5/25/22,5/26/2022,MOVED TO UTICA,
Cash Drawer,1,ADESSO MRP-16CD,C2105000028,BIG RAPIDS,5/25/22,5/26/2022,MOVED TO UTICA,
Label Printer,1,ZD410,50J200200917,BIG RAPIDS,5/25/22,12/30/22,MOVED TO UTICA,
Label Printer,1,ZD410,50N212202089,BIG RAPIDS,5/25/22,12/30/22,MOVED TO UTICA,
Label Printer,1,ZD410,50N220800616,New Baltimore,,12/30/22,MOVED TO UTICA,
Label Printer,1,ZD410,50N214300928,New Baltimore,,12/30/22,MOVED TO UTICA,
Label Printer,1,ZD410,50N220800617,New Baltimore,,12/30/22,MOVED TO UTICA,
Label Printer,1,ZD410,50N220800618,New Baltimore,,12/30/22,MOVED TO UTICA,
Label Printer,1,ZD410,50J200206620,BIG RAPIDS,5/25/22,12/30/22,MOVED TO UTICA,
Label Printer,1,ZD410,50N211301356,New Baltimore,,12/30/22,MOVED TO UTICA,
Reciept Printer,1,Star TSP143III W GYUS,2550021021301197,NEW BALTIMORE,,12/30/22,MOVED TO UTICA,
Battery Backup,1,Tripp-Lite,3143DV4BC87F900983,NEW BALTIMORE,,12/30/22,MOVED TO UTICA,
Label Printer,1,Zebra ZD410,50J200206620,BIG RAPIDS,5/21/22,12/30/22,MOVED TO UTICA,
Battery back ups ,1,Tripplite BC349,3129cv4bc87f901962,BIG RAPIDS,5/22/22,12/21/22,MOVED TO GAYLORD,
Battery back ups ,1,Tripplite BC350,3129cv4bc87f900863,BIG RAPIDS,5/23/22,1/13/22,MOVED TO DETROIT,
Battery back ups ,1,Tripplite BC350,3128CV4BC87F900796,BIG RAPIDS,5/24/22,5/26/2022,MOVED TO UTICA,
Battery back ups ,1,Tripplite BC350,3129CV4BC87F901963,BIG RAPIDS,5/25/22,5/26/2022, MOVED TO UTICA,
Cash Drawer Shell,2,,,,5/25/22,1/20/23,STOCKED IN NEW BALTIMORE,
Cash Drawer Inserts ,4,,,BIG RAPIDS,5/25/22,1/20/23,STOCKED IN NEW BALTIMORE,
Reto 15,9,DC68,,BIG RAPIDS,5/25/22,1/20/23,STOCKED IN NEW BALTIMORE,
Roku remotes,4,,,BIG RAPIDS,5/25/22,1/20/23,STOCKED IN NEW BALTIMORE,
Two way radio earpieces ,1,,,BIG RAPIDS,5/25/22,1/20/23,STOCKED IN NEW BALTIMORE,
iPad shoulder straps,2,,,BIG RAPIDS,5/25/22,1/20/23,STOCKED IN NEW BALTIMORE,
Keyboard & mouses,,,,BIG RAPIDS,5/25/22,1/20/23,STOCKED IN NEW BALTIMORE,
Symbol scanner with base,1,CR0078,1502800503950,BIG RAPIDS,5/25/22,1/20/23,STOCKED IN NEW BALTIMORE,
Rev i15 wire ear pieces,5,,,BIG RAPIDS,5/25/22,1/20/23,STOCKED IN NEW BALTIMORE,
